route,bus_lane_share,cbd_relation
SIM25,0.043,Crossing CBD
SIM4C,0.141,Outside CBD
SIM4,0.111,Crossing CBD
SIM8,0.07,Crossing CBD
SIM2,0.07,Crossing CBD
S78,0.322,Outside CBD
S74,0.009,Outside CBD
S56,0.06,Outside CBD
S55,0.076,Outside CBD
SIM15,0.097,Crossing CBD
SIM11,0.305,Crossing CBD
SIM1C,0.429,Outside CBD
SIM10,0.383,Crossing CBD
SIM6,0.342,Crossing CBD
SIM5,0.338,Crossing CBD
SIM1,0.43,Crossing CBD
SIM7,0.337,Crossing CBD
SIM9,0.346,Crossing CBD
S79+,0.467,Outside CBD
S57,0.046,Outside CBD
S62,0.14,Outside CBD
S59,0.074,Outside CBD
S61,0.164,Outside CBD
S44,0.031,Outside CBD
S89,0.089,Outside CBD
SIM22,0.064,Crossing CBD
S86,0.025,Outside CBD
S96,0.102,Outside CBD
S98,0.154,Outside CBD
S81,0.357,Outside CBD
S84,0.009,Outside CBD
S94,0.032,Outside CBD
S91,0.16,Outside CBD
S92,0.134,Outside CBD
QM21,0.168,Crossing CBD
Q111,0.086,Outside CBD
Q115,0.149,Outside CBD
Q110,0.114,Outside CBD
Q113,0.056,Outside CBD
Q114,0.052,Outside CBD
Q112,0.167,Outside CBD
Q51,0.021,Outside CBD
Q25,0.175,Outside CBD
QM5,0.105,Crossing CBD
QM2,0.282,Crossing CBD
QM10,0.258,Crossing CBD
QM42,0.189,Crossing CBD
QM12,0.229,Crossing CBD
QM4,0.175,Crossing CBD
QM20,0.156,Crossing CBD
QM44,0.138,Crossing CBD
QM6,0.135,Crossing CBD
QM36,0.1,Crossing CBD
QM32,0.128,Crossing CBD
QM40,0.213,Crossing CBD
Q28,0,Outside CBD
Q66,0.53,Outside CBD
Q63,0.479,Outside CBD
QM11,0.19,Crossing CBD
QM7,0.142,Crossing CBD
QM1,0.186,Crossing CBD
QM31,0.128,Crossing CBD
QM35,0.1,Crossing CBD
Q26,0.126,Outside CBD
Q65,0.237,Outside CBD
QM8,0.096,Crossing CBD
BXM9,0.208,Crossing CBD
Q64,0,Outside CBD
Q74,0,Outside CBD
BX23,0.07,Outside CBD
Q50,0.057,Outside CBD
BXM6,0.339,Crossing CBD
BXM10,0.252,Crossing CBD
BXM8,0.31,Crossing CBD
BXM7,0.236,Crossing CBD
Q22,0.293,Outside CBD
Q35,0.138,Outside CBD
Q11,0.764,Outside CBD
Q41,0.279,Outside CBD
QM15,0.472,Crossing CBD
QM18,0.186,Crossing CBD
QM17,0.34,Crossing CBD
QM16,0.36,Crossing CBD
Q09,0.43,Outside CBD
Q40,0.178,Outside CBD
Q60,0.161,Crossing CBD
Q08,0.184,Outside CBD
QM65,0.178,Outside CBD
Q07,0.023,Outside CBD
Q06,0.212,Outside CBD
Q10,0.005,Outside CBD
Q80,0.008,Outside CBD
Q37,0.026,Outside CBD
Q52+,0.573,Outside CBD
Q103,0.096,Outside CBD
Q33,0.091,Outside CBD
Q47,0.043,Outside CBD
Q101,0.043,Crossing CBD
Q53+,0.582,Outside CBD
Q49,0.099,Outside CBD
QM25,0.203,Crossing CBD
Q69,0.315,Outside CBD
QM24,0.25,Crossing CBD
QM34,0.249,Crossing CBD
Q100,0.351,Outside CBD
Q104,0.047,Outside CBD
Q19,0.198,Outside CBD
Q102,0.096,Outside CBD
Q18,0.047,Outside CBD
Q72,0,Outside CBD
Q32,0.303,Crossing CBD
Q23,0.015,Outside CBD
Q70+,0.046,Outside CBD
B100,0.035,Outside CBD
B103,0.045,Outside CBD
BM2,0.187,Crossing CBD
BM5,0.436,Crossing CBD
BM1,0.136,Crossing CBD
BM3,0.205,Crossing CBD
BM4,0.14,Crossing CBD
BXM2,0.151,Crossing CBD
BXM11,0.288,Crossing CBD
BXM18,0.196,Crossing CBD
BXM4,0.171,Crossing CBD
BXM3,0.24,Crossing CBD
BXM1,0.257,Crossing CBD
