Topic,Article Count,Coverage Depth (0-100),Subtopics Covered,Subtopics Missing
Youth & Families,10,24,,
Technology & Surveillance,12,28,,
Immigration,18,33,,
Education,16,34,,
Health,14,35,,
Climate & Environment,19,43,,
Government & Accountability,22,56,,
Economy,24,64,,
Transportation,24,72,,
Public Safety,31,75,,
Housing,30,98,,
