Type,Issue,Count
Error,Missing meta description,19
Error,Missing og:description,9
Error,Missing og:image,9
Error,Missing H1 tag,1
Warning,No structured data (JSON-LD) found,9
Warning,Heading level skip: H1 → H3,8
Warning,Meta description too long (...),6
Warning,N of M images missing alt text,6
Warning,Meta description too short (...),3
Warning,Title too long (...),3
Warning,Generic title — should be unique per page,1
Warning,Heading level skip: H2 → H4,1
Warning,Large page size (515 KB),1
